smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
c1cc2c(cc1C1OCC3C(OC4OCC5C(c6ccc7c(c6)OCO7)OCC45)OCC13)OCO2,-5.292,2.794,2.553,0.989,0.001,0.001,0.001,0.001,-5.158,6.349006434902549e-05,0.056,97.23165130615234%,0.706,2.257375717163086%,0.021,0.85,0.639,0.799,0.244,0.099,0.744,0.862,0.952,0.702,8.794,0.033,0.16,0.143,0.603,0.723,0.255,0.471,0.229,0.867,0.003,0.117,0.04,3.041,5.122,6.621,6.604,0.001,0.37,0.929,0.757,0.306,0.55,0.0,0.6,0.885,0.233,0.607,0.911,482.16,453.094,1.064,9,0,83.07,4,8,9,9,0,38,0.105,8,1,0,0,0,2,1,2,0,0.653,4.756,0.538,140.6,0.922,0,0,0,0,Accepted,Accepted,Rejected,Accepted
CC=Cc1cc(OC)c2c(c1)C(C)C(c1ccc(OC)c(OC)c1)O2,-5.703,4.144,4.388,1.0,0.01,0.005,0.005,0.666,-4.852,2.2007961888448335e-05,0.093,96.9207534790039%,1.975,2.512028932571411%,0.165,0.971,0.79,0.93,0.783,0.872,0.084,0.933,0.771,0.921,6.563,0.251,0.454,0.34,0.642,0.231,0.096,0.731,0.923,0.062,0.003,0.019,0.14,3.129,4.376,6.306,6.727,0.36,0.023,0.577,0.753,0.09,0.035,0.008,0.383,0.45,0.051,0.308,0.819,340.17,362.808,0.938,4,0,36.92,5,3,9,4,0,17,0.294,2,0,0,0,0,4,0,0,0,0.769,3.167,0.333,56.571,1.411,1,0,0,0,Accepted,Rejected,Rejected,Accepted
O=Cc1ccccc1,-1.574,1.363,1.495,0.0,0.002,0.014,0.091,0.016,-4.306,2.1628873582812957e-05,0.974,75.02001190185547%,1.332,20.4161376953125%,0.918,0.131,0.186,0.405,0.057,0.33,0.005,0.319,0.007,0.219,5.971,0.777,0.052,0.024,0.038,0.049,0.011,0.02,0.423,0.058,0.989,0.997,0.98,0.568,3.051,4.009,4.024,0.014,0.009,0.012,0.006,0.482,0.007,0.003,0.025,0.013,0.01,0.01,0.007,106.04,119.316,0.889,1,0,17.07,1,1,6,1,0,7,0.143,0,0,0,1,0,2,0,1,0,0.496,1.439,0.0,4.0,0.106,1,1,0,0,Accepted,Accepted,Accepted,Rejected
COc1cc(C2OCC3C(c4cc(OC)c(OC5OC(CO)C(O)C(O)C5O)c(OC)c4)OCC23)cc(OC)c1OC1OC(CO)C(O)C(O)C1O,-2.351,0.6,-0.967,0.001,0.991,0.944,0.013,0.778,-6.349,0.00017048291920218617,0.216,23.938024520874023%,0.455,40.348331451416016%,0.0,0.106,0.001,0.826,0.0,0.14,0.0,0.229,0.01,0.08,1.31,0.091,0.057,0.178,0.23,0.104,0.08,0.046,0.015,0.046,0.003,0.003,0.003,1.258,3.842,4.619,6.474,0.819,0.321,0.01,0.597,0.118,0.414,0.082,0.326,0.938,0.026,0.154,0.749,742.27,687.687,1.079,18,8,254.14,12,6,8,18,0,33,0.364,14,1,0,0,0,3,2,0,0,0.119,5.139,0.647,142.857,1.078,1,1,0,0,Rejected,Accepted,Rejected,Rejected
OCC1=CCN2CCCC12,-0.598,0.591,0.395,0.001,0.002,0.009,0.971,0.792,-4.485,3.941691466025077e-05,0.65,16.71889305114746%,0.859,85.6893081665039%,0.057,0.113,0.019,0.656,0.001,0.069,0.037,0.857,0.002,0.281,9.529,0.822,0.013,0.161,0.124,0.05,0.959,0.613,0.295,0.936,0.025,0.624,0.819,0.277,1.949,3.659,3.806,0.068,0.003,0.02,0.004,0.093,0.007,0.003,0.044,0.007,0.018,0.007,0.008,139.1,146.962,0.947,2,1,23.47,1,2,8,2,0,9,0.111,1,0,0,0,0,1,0,0,1,0.531,3.484,0.75,24.429,1.522,0,0,0,0,Accepted,Accepted,Accepted,Rejected
COC(C)C(O)(C(=O)OCC1=CCN2CCCC12)C(C)C,-1.532,1.701,2.0,0.002,0.006,0.007,0.108,0.502,-4.438,4.5181746827438474e-05,0.984,43.05067443847656%,1.623,59.53974914550781%,0.026,0.092,0.016,0.881,0.003,0.086,0.085,0.756,0.018,0.471,9.663,0.36,0.006,0.07,0.304,0.287,0.569,0.369,0.083,0.957,0.003,0.017,0.902,0.646,2.419,4.041,3.809,0.101,0.004,0.01,0.012,0.086,0.125,0.004,0.105,0.011,0.052,0.02,0.231,297.19,309.064,0.962,5,1,59.0,7,2,8,5,0,10,0.7,3,1,0,0,0,2,0,1,1,0.592,4.154,0.812,35.172,1.531,0,0,0,0,Accepted,Accepted,Accepted,Accepted
OCC1CCN2CCCC12,-0.239,-0.192,0.104,0.002,0.01,0.014,0.022,0.017,-4.501,2.4315721020684578e-05,0.348,9.783609390258789%,1.362,88.2939453125%,0.021,0.103,0.014,0.824,0.001,0.046,0.176,0.862,0.001,0.343,11.194,0.636,0.019,0.192,0.033,0.014,0.05,0.16,0.414,0.617,0.043,0.656,0.903,0.328,1.885,2.417,3.645,0.151,0.002,0.007,0.004,0.15,0.015,0.003,0.045,0.01,0.454,0.007,0.006,141.12,149.598,0.943,2,1,23.47,1,2,8,2,0,9,0.111,2,0,0,0,0,0,0,0,0,0.573,3.063,1.0,25.875,1.058,0,0,0,0,Accepted,Accepted,Accepted,Rejected
CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12,-1.8,1.597,1.745,0.505,0.003,0.084,0.683,0.983,-4.719,3.2753796403994784e-05,0.449,30.923263549804688%,1.317,57.685516357421875%,0.017,0.081,0.03,0.789,0.017,0.084,0.025,0.183,0.085,0.482,5.587,0.43,0.01,0.101,0.543,0.477,0.735,0.629,0.048,0.965,0.003,0.008,0.933,0.33,2.004,3.778,3.183,0.023,0.016,0.01,0.031,0.077,0.042,0.007,0.161,0.023,0.036,0.08,0.879,411.23,416.642,0.987,8,2,105.53,10,2,8,8,0,12,0.833,4,1,0,0,0,3,3,2,2,0.346,4.646,0.714,45.556,2.158,1,0,0,0,Accepted,Accepted,Rejected,Accepted
NCCCCN,1.127,-1.981,-0.971,0.042,0.013,0.052,0.006,0.004,-6.206,0.0003652118321042508,0.343,8.345390319824219%,1.205,91.61890411376953%,0.033,0.103,0.021,0.226,0.003,0.168,0.004,0.896,0.005,0.199,5.637,0.483,0.043,0.155,0.032,0.055,0.752,0.158,0.882,0.112,0.998,0.102,0.817,0.268,2.289,2.429,3.691,0.088,0.004,0.011,0.01,0.052,0.005,0.004,0.033,0.01,0.671,0.005,0.005,88.1,99.734,0.883,2,4,52.04,3,0,0,2,0,0,inf,0,0,0,0,0,1,1,0,0,0.465,2.011,1.0,0.0,0.566,0,0,0,0,Accepted,Accepted,Accepted,Rejected
NCCCCNCCCN,0.899,-2.154,-1.117,0.18,0.973,0.11,0.011,0.015,-6.296,1.0744072824309114e-05,0.19,21.103193283081055%,0.921,91.36402893066406%,0.01,0.056,0.015,0.191,0.0,0.051,0.004,0.893,0.003,0.221,6.038,0.309,0.049,0.12,0.031,0.045,0.378,0.15,0.94,0.024,0.995,0.074,0.769,0.121,2.265,2.351,3.76,0.029,0.002,0.009,0.007,0.065,0.004,0.003,0.127,0.011,0.64,0.005,0.007,145.16,162.619,0.893,3,5,64.07,7,0,0,3,0,0,inf,0,0,0,0,0,1,2,0,0,0.43,2.122,1.0,0.0,0.215,0,0,0,0,Accepted,Accepted,Accepted,Rejected
NCCCCNCCCCN,0.878,-2.045,-0.682,0.447,0.971,0.164,0.011,0.028,-6.258,6.246526027098298e-06,0.181,21.35559844970703%,0.94,92.5836181640625%,0.013,0.058,0.016,0.241,0.001,0.05,0.006,0.899,0.006,0.234,6.521,0.285,0.061,0.127,0.033,0.029,0.553,0.159,0.945,0.022,0.996,0.073,0.819,0.216,2.456,2.516,3.835,0.045,0.002,0.011,0.009,0.069,0.003,0.003,0.124,0.011,0.705,0.006,0.008,159.17,179.915,0.885,3,5,64.07,8,0,0,3,0,0,inf,0,0,0,0,0,1,2,0,0,0.439,2.063,1.0,0.0,0.151,0,0,0,0,Accepted,Accepted,Accepted,Rejected
NCCCNCCCCNCCCN,0.662,-2.366,-1.217,0.411,0.998,0.26,0.006,0.034,-6.258,2.785012156891753e-06,0.089,33.55649185180664%,0.681,86.48053741455078%,0.004,0.031,0.01,0.164,0.0,0.023,0.001,0.898,0.001,0.26,6.077,0.223,0.052,0.137,0.027,0.055,0.249,0.14,0.956,0.009,0.99,0.063,0.653,0.068,2.261,2.25,3.897,0.011,0.001,0.008,0.007,0.066,0.003,0.003,0.494,0.012,0.618,0.005,0.01,202.22,225.503,0.897,4,6,76.1,11,0,0,4,0,0,inf,0,0,0,0,0,1,2,0,0,0.345,2.179,1.0,0.0,0.086,0,1,0,0,Accepted,Accepted,Accepted,Rejected
O=CCc1ccccc1,-1.009,1.296,1.155,0.0,0.007,0.005,0.056,0.002,-4.291,3.267743159085512e-05,0.933,36.944278717041016%,1.575,67.031982421875%,0.699,0.448,0.225,0.3,0.024,0.115,0.157,0.479,0.018,0.251,9.592,0.784,0.097,0.059,0.313,0.395,0.019,0.03,0.957,0.319,0.973,0.992,0.952,0.704,3.243,3.879,4.091,0.019,0.026,0.056,0.013,0.582,0.008,0.037,0.029,0.04,0.009,0.017,0.269,120.06,136.612,0.879,1,0,17.07,2,1,6,1,0,7,0.286,0,0,0,1,0,2,0,1,0,0.539,1.706,0.125,4.0,0.798,1,1,0,0,Accepted,Accepted,Accepted,Rejected
CC(=O)CCCC(C)CCCC(C)CCCC(C)C,-6.454,5.61,6.477,0.278,0.001,0.003,0.983,0.974,-4.535,9.969599886971992e-06,0.634,98.2547607421875%,1.556,2.1587486267089844%,0.318,0.208,0.356,0.665,0.438,0.96,0.052,0.075,0.135,0.132,6.822,0.136,0.032,0.06,0.193,0.003,0.009,0.022,0.923,0.039,0.988,0.926,0.366,2.905,4.906,5.137,4.714,0.009,0.002,0.008,0.005,0.364,0.233,0.009,0.03,0.002,0.646,0.028,0.001,268.28,326.038,0.823,1,0,17.07,12,0,0,1,0,1,12.0,2,1,0,0,0,1,1,1,0,0.423,3.005,0.944,4.0,0.798,0,1,0,0,Accepted,Rejected,Rejected,Rejected
CCC(C)(O)CC(=NOS(=O)(=O)O)SC1OC(CO)C(O)C(O)C1O,-0.081,-1.352,-1.387,0.0,0.095,0.982,0.986,0.994,-5.991,7.70351107348688e-05,0.191,54.975425720214844%,0.505,55.85144805908203%,0.003,0.068,0.009,0.059,0.001,0.547,0.002,0.1,0.007,0.003,1.021,0.48,0.02,0.503,0.917,0.016,0.041,0.014,0.035,0.033,0.003,0.007,0.057,0.091,1.278,2.16,3.621,0.004,0.003,0.012,0.018,0.201,0.009,0.005,0.039,0.006,0.003,0.006,0.004,405.08,340.832,1.189,11,6,186.34,8,1,6,13,0,9,0.889,6,1,0,1,0,0,0,1,0,0.121,4.712,0.917,36.522,1.327,3,0,0,0,Rejected,Accepted,Rejected,Accepted
C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,-0.756,-0.37,-1.881,0.061,0.368,0.994,0.985,0.998,-6.531,0.000360258825821802,0.288,28.645858764648438%,0.166,35.7039680480957%,0.0,0.421,0.0,0.186,0.0,0.036,0.0,0.075,0.047,0.002,0.726,0.119,0.004,0.2,0.032,0.129,0.241,0.008,0.001,0.032,0.003,0.002,0.014,0.56,2.919,2.54,5.114,0.027,0.303,0.002,0.791,0.192,0.527,0.204,0.44,0.904,0.014,0.204,0.691,804.38,758.86,1.06,18,11,294.98,10,7,15,18,0,39,0.256,21,1,0,0,0,1,2,0,0,0.063,7.13,0.921,198.74,1.875,0,1,0,0,Rejected,Accepted,Rejected,Rejected
Cc1ccc(C(C)C)cc1,-3.919,3.778,3.994,0.011,0.005,0.004,0.211,0.931,-4.302,1.963758040801622e-05,0.728,94.38227081298828%,2.139,6.087675094604492%,0.941,0.944,0.855,0.864,0.574,0.61,0.778,0.755,0.084,0.62,7.38,0.276,0.031,0.037,0.201,0.018,0.079,0.048,0.159,0.386,0.958,0.993,0.03,2.386,3.641,4.072,4.199,0.009,0.002,0.004,0.004,0.263,0.022,0.002,0.015,0.004,0.014,0.007,0.001,134.11,165.05,0.813,0,0,0.0,1,1,6,0,0,6,0.167,0,0,0,0,0,0,1,0,0,0.553,1.251,0.4,6.0,-0.717,0,0,0,0,Accepted,Rejected,Accepted,Rejected
O=c1ccc2ccccc2o1,-2.019,1.506,1.672,0.01,0.642,0.005,0.993,0.998,-4.582,2.1081414161017165e-05,0.172,87.26203918457031%,0.833,12.252151489257812%,0.984,0.904,0.564,0.111,0.081,0.635,0.212,0.638,0.029,0.296,10.851,0.721,0.165,0.102,0.845,0.219,0.672,0.023,0.241,0.892,0.77,0.992,0.115,0.904,3.361,3.886,4.656,0.06,0.011,0.068,0.012,0.156,0.006,0.005,0.057,0.046,0.133,0.022,0.06,146.04,151.506,0.964,2,0,30.21,0,2,10,2,0,12,0.0,0,0,0,0,0,0,0,1,1,0.53,1.672,0.0,9.0,0.234,1,0,0,0,Accepted,Accepted,Accepted,Rejected
CCOC(C(=O)OCCCN1CCCCC1)(c1ccccc1)c1ccccc1,-3.895,3.353,4.408,0.864,0.397,0.002,0.006,0.004,-4.683,4.1591058106860146e-05,0.98,90.45965576171875%,4.592,6.841039657592773%,0.044,0.144,0.181,0.811,0.038,0.02,0.993,0.573,0.41,0.913,3.958,0.032,0.967,0.129,0.032,0.024,0.069,0.807,0.351,0.077,0.003,0.042,0.778,0.686,4.259,4.497,3.868,0.008,0.22,0.346,0.07,0.404,0.035,0.024,0.279,0.006,0.03,0.132,0.618,381.23,416.903,0.914,4,0,38.77,10,3,6,4,0,19,0.526,0,1,0,0,0,0,0,1,0,0.477,2.267,0.458,36.571,-0.581,0,0,0,0,Accepted,Rejected,Rejected,Accepted
COC(=O)c1ccccc1O,-2.008,1.844,2.338,0.001,0.001,0.006,0.003,0.705,-4.392,2.9780650947941467e-05,0.793,87.14087677001953%,0.722,13.444295883178711%,0.937,0.835,0.596,0.218,0.248,0.875,0.252,0.542,0.065,0.225,12.797,0.865,0.017,0.032,0.391,0.088,0.035,0.012,0.276,0.146,0.428,0.988,0.14,0.576,3.341,3.62,4.194,0.009,0.016,0.275,0.013,0.156,0.086,0.005,0.028,0.097,0.021,0.068,0.013,152.05,154.193,0.986,3,1,46.53,2,1,6,3,0,7,0.286,0,0,0,0,0,0,0,1,0,0.614,1.462,0.125,6.0,0.026,1,0,0,0,Accepted,Accepted,Accepted,Rejected
COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1CC(O)C2C,-0.382,-0.089,-1.261,0.0,0.139,0.934,0.023,0.99,-5.732,0.00018747897411230952,0.634,22.280899047851562%,0.326,57.96250534057617%,0.004,0.093,0.008,0.609,0.0,0.098,0.001,0.107,0.006,0.144,1.836,0.562,0.022,0.395,0.724,0.232,0.15,0.095,0.025,0.945,0.003,0.009,0.801,0.527,1.937,2.412,4.566,0.098,0.028,0.007,0.003,0.114,0.216,0.003,0.024,0.078,0.005,0.065,0.007,390.15,359.548,1.085,10,5,155.14,5,3,9,10,0,17,0.294,10,1,0,0,0,2,5,1,1,0.336,4.69,0.824,56.903,2.766,1,0,0,0,Accepted,Accepted,Accepted,Accepted
OCC1OC(OC2OC=CC3C(O)C4OC4(CO)C23)C(O)C(O)C1O,-0.219,-1.447,-2.493,0.0,0.737,0.945,0.088,0.992,-5.96,0.0002105841995216906,0.453,16.111637115478516%,0.341,62.70100021362305%,0.002,0.041,0.004,0.178,0.0,0.058,0.0,0.116,0.011,0.029,1.724,0.457,0.037,0.189,0.157,0.105,0.862,0.317,0.018,0.945,0.003,0.006,0.828,0.312,1.762,2.2,4.502,0.01,0.127,0.005,0.005,0.103,0.197,0.004,0.039,0.758,0.007,0.011,0.054,362.12,319.036,1.135,10,6,161.6,4,4,10,10,0,18,0.222,11,2,1,2,0,4,4,1,7,0.276,5.091,0.867,69.643,3.318,0,0,0,0,Accepted,Accepted,Accepted,Accepted
O=C1C=CC(O)(CCOC2OC(CO)C(O)C(O)C2O)C=C1,-0.568,-1.63,-1.704,0.0,0.01,0.93,0.011,0.936,-5.457,0.0003046885831281543,0.65,26.830121994018555%,0.414,52.561614990234375%,0.003,0.054,0.009,0.099,0.001,0.116,0.001,0.077,0.007,0.012,1.394,0.631,0.034,0.196,0.018,0.238,0.626,0.045,0.171,0.835,0.003,0.013,0.953,0.281,2.188,2.813,4.119,0.072,0.667,0.007,0.08,0.138,0.024,0.009,0.287,0.39,0.016,0.015,0.096,316.12,296.0,1.068,8,5,136.68,5,2,6,8,0,13,0.385,5,2,1,0,0,3,4,1,1,0.379,4.268,0.643,37.826,2.631,1,0,0,0,Accepted,Accepted,Accepted,Accepted
CC(=O)C(Cl)(Cl)C(Cl)(Cl)Cl,-2.659,1.274,2.693,0.003,0.008,0.004,0.001,0.0,-5.154,0.00017524838040117174,0.984,75.66541290283203%,1.165,10.647602081298828%,0.858,0.974,0.18,0.944,0.188,0.129,0.007,0.313,0.016,0.406,9.56,0.652,0.023,0.218,0.542,0.439,0.129,0.025,0.328,0.33,0.99,0.99,0.98,1.091,3.971,4.535,4.11,0.266,0.007,0.123,0.013,0.114,0.007,0.003,0.038,0.019,0.013,0.397,0.011,241.86,159.95,1.512,1,0,17.07,2,0,0,6,0,1,2.0,0,1,0,0,0,2,2,4,2,0.648,3.598,0.75,0.0,0.069,0,0,0,0,Accepted,Accepted,Accepted,Accepted
CC(N)C1CC2CCC1C2,-3.143,0.427,2.022,0.001,0.002,0.014,0.003,0.005,-4.811,0.0001008723775157705,0.877,26.905433654785156%,1.376,61.50896453857422%,0.272,0.28,0.033,0.733,0.029,0.095,0.238,0.893,0.176,0.283,13.982,0.244,0.059,0.403,0.17,0.027,0.253,0.479,0.628,0.076,0.62,0.125,0.936,1.544,3.192,3.418,3.973,0.006,0.002,0.007,0.003,0.45,0.737,0.002,0.018,0.003,0.077,0.06,0.004,139.14,158.104,0.88,1,2,26.02,1,2,6,1,0,8,0.125,4,0,0,0,0,0,1,0,0,0.588,4.423,1.0,27.778,0.776,0,0,0,0,Accepted,Accepted,Accepted,Rejected
N=c1[nH]cc(C=CC(=O)O)[nH]1,-1.365,-1.143,-1.074,0.0,0.46,0.056,0.003,0.131,-6.168,6.065365141694201e-06,0.698,22.528470993041992%,0.342,71.66748809814453%,0.012,0.741,0.083,0.042,0.031,0.017,0.003,0.078,0.007,0.085,3.541,0.944,0.038,0.988,0.952,0.193,0.655,0.247,0.933,0.834,0.004,0.669,0.83,-0.222,2.496,3.59,4.693,0.809,0.004,0.017,0.005,0.049,0.006,0.002,0.264,0.018,0.015,0.012,0.01,153.05,143.801,1.064,5,4,92.73,2,1,5,5,0,8,0.25,0,0,1,0,0,2,2,1,0,0.447,3.781,0.0,6.0,0.582,0,0,0,0,Accepted,Accepted,Accepted,Rejected
O=C(NC(CCCCN1CCCCC1)c1ccccc1)c1ccccc1,-3.884,3.886,4.396,0.895,0.08,0.024,0.976,0.921,-4.78,2.4239165213657543e-05,0.573,87.67384338378906%,2.193,8.91830062866211%,0.134,0.903,0.271,0.272,0.073,0.06,0.973,0.859,0.32,0.328,4.045,0.066,0.986,0.266,0.03,0.035,0.376,0.621,0.567,0.049,0.003,0.017,0.938,0.698,4.314,4.865,4.209,0.088,0.013,0.011,0.23,0.257,0.004,0.114,0.342,0.033,0.283,0.389,0.037,350.24,393.023,0.891,3,1,32.34,9,3,6,3,0,19,0.474,1,0,0,0,0,1,0,0,0,0.693,2.24,0.435,46.242,-0.901,0,0,0,0,Accepted,Rejected,Rejected,Accepted
OCC1CC1,0.22,0.592,0.509,0.0,0.261,0.006,0.003,0.004,-4.197,0.000378468626877293,0.988,24.107276916503906%,0.836,76.73703002929688%,0.31,0.542,0.046,0.636,0.012,0.199,0.012,0.454,0.014,0.208,9.722,0.765,0.023,0.16,0.043,0.023,0.045,0.039,0.43,0.56,0.867,0.993,0.06,0.54,2.048,2.445,2.944,0.013,0.003,0.017,0.005,0.095,0.007,0.003,0.017,0.005,0.193,0.004,0.006,72.06,77.974,0.924,1,1,20.23,1,1,3,1,0,3,0.333,0,0,0,0,0,0,1,0,0,0.475,1.942,1.0,7.0,0.856,0,0,0,0,Accepted,Accepted,Accepted,Rejected
C=CC(=C)CCCC(C)CCCC(C)CCCC(C)C,-7.116,6.06,8.007,0.154,0.0,0.002,0.004,0.359,-4.628,5.444345788419014e-06,0.513,98.55203247070312%,3.743,1.6661057472229004%,0.442,0.2,0.352,0.557,0.498,0.934,0.058,0.072,0.349,0.186,5.58,0.043,0.008,0.055,0.856,0.013,0.01,0.08,0.965,0.082,0.977,0.938,0.904,2.658,5.338,6.167,5.745,0.016,0.003,0.003,0.013,0.057,0.182,0.074,0.603,0.002,0.927,0.235,0.018,278.3,349.203,0.797,0,0,0.0,13,0,0,0,0,2,6.5,2,0,0,1,0,0,1,2,0,0.313,3.426,0.8,4.0,1.365,0,1,0,0,Accepted,Rejected,Rejected,Rejected
O=C(NCC(=O)N1CCCC1C(=O)O)OCc1ccccc1,-1.782,1.837,1.101,0.001,0.009,0.036,0.006,0.006,-5.774,5.1909992180299014e-05,0.928,40.942161560058594%,0.205,54.61667251586914%,0.018,0.058,0.056,0.064,0.023,0.846,0.015,0.205,0.01,0.033,8.199,0.919,0.045,0.514,0.69,0.004,0.01,0.011,0.149,0.012,0.003,0.013,0.024,0.248,2.447,3.603,3.799,0.387,0.079,0.025,0.013,0.304,0.011,0.007,0.097,0.009,0.079,0.009,0.01,306.12,301.009,1.017,7,2,95.94,8,2,6,7,0,14,0.571,1,0,0,0,1,1,1,2,1,0.845,2.35,0.4,40.571,-0.867,0,0,0,0,Accepted,Accepted,Accepted,Accepted
C=CCn1ccccc1=O,-0.079,0.71,0.657,0.0,0.0,0.006,0.715,0.344,-4.211,4.227776298648678e-05,0.981,32.27388381958008%,1.454,69.35899353027344%,0.241,0.593,0.078,0.339,0.021,0.449,0.016,0.516,0.028,0.258,7.647,0.82,0.012,0.164,0.192,0.216,0.329,0.033,0.731,0.313,0.127,0.971,0.491,0.568,2.396,3.836,3.78,0.013,0.008,0.011,0.005,0.072,0.008,0.002,0.029,0.008,0.761,0.007,0.005,135.07,147.609,0.915,2,0,22.0,2,1,6,2,0,8,0.25,0,1,0,0,0,0,0,1,0,0.555,2.263,0.125,5.0,-1.47,0,0,0,0,Accepted,Accepted,Accepted,Rejected
c1ccc2[nH]ccc2c1,-2.151,2.443,2.292,0.001,0.012,0.005,0.881,0.468,-4.259,2.2485028239316307e-05,0.737,86.31747436523438%,1.902,16.501951217651367%,0.975,0.805,0.789,0.302,0.146,0.811,0.335,0.854,0.078,0.207,11.189,0.794,0.029,0.178,0.406,0.311,0.844,0.219,0.633,0.408,0.844,0.994,0.983,0.934,3.124,3.922,5.328,0.009,0.002,0.81,0.491,0.287,0.075,0.003,0.045,0.166,0.74,0.102,0.013,117.06,130.262,0.899,1,1,15.79,0,2,9,1,0,10,0.0,0,0,0,0,0,0,0,2,0,0.544,1.74,0.0,8.0,-0.407,0,0,0,0,Accepted,Accepted,Accepted,Rejected
CCCCCCCCC1CC(c2ccncc2)=NO1,-4.008,4.374,4.667,0.003,0.001,0.003,0.972,0.979,-4.598,2.635923374327831e-05,0.938,92.2197036743164%,1.814,4.662262439727783%,0.936,0.293,0.938,0.071,0.93,0.658,0.882,0.199,0.947,0.367,0.869,0.165,0.064,0.417,0.817,0.077,0.079,0.512,0.918,0.135,0.005,0.216,0.791,2.899,4.955,5.466,5.206,0.023,0.002,0.132,0.931,0.165,0.002,0.838,0.062,0.008,0.783,0.687,0.681,260.19,288.417,0.902,3,0,34.48,8,2,6,3,0,11,0.727,1,1,0,0,0,0,0,0,0,0.652,2.746,0.625,28.385,-0.293,0,0,0,0,Accepted,Rejected,Rejected,Accepted
O=C1NC(=O)c2ccccc21,-1.625,0.83,0.536,0.005,0.016,0.008,0.002,0.899,-4.725,1.7924499843502417e-05,0.966,31.538013458251953%,0.726,60.22991943359375%,0.76,0.073,0.138,0.084,0.057,0.815,0.009,0.313,0.011,0.174,2.883,0.817,0.078,0.12,0.739,0.089,0.182,0.017,0.476,0.067,0.004,0.943,0.03,0.458,2.557,2.97,4.328,0.016,0.013,0.81,0.021,0.134,0.005,0.16,0.504,0.088,0.015,0.039,0.041,147.03,145.206,1.013,3,1,46.17,0,2,9,3,0,12,0.0,0,0,0,0,0,2,0,0,0,0.545,1.783,0.0,20.0,-0.325,1,0,0,0,Accepted,Accepted,Accepted,Rejected
O=C(O)c1ccccc1C(=O)O,-1.234,3.761,1.187,0.0,0.001,0.071,0.005,0.897,-5.74,1.0238431059406139e-05,0.399,53.421329498291016%,0.204,34.117652893066406%,0.039,0.043,0.043,0.039,0.111,0.058,0.037,0.055,0.022,0.025,1.376,0.91,0.108,0.361,0.88,0.019,0.111,0.002,0.374,0.01,0.02,0.995,0.219,0.153,2.397,2.727,2.21,0.04,0.008,0.036,0.004,0.113,0.013,0.026,0.018,0.011,0.552,0.019,0.006,166.03,160.346,1.035,4,2,74.6,2,1,6,4,0,8,0.25,0,0,0,0,0,0,0,0,0,0.689,1.398,0.0,7.0,-0.138,0,0,0,0,Accepted,Accepted,Accepted,Rejected
O=C(N=c1[nH]o[nH]c1=NC(=O)c1cccs1)c1cccs1,-2.653,1.938,1.718,0.022,0.0,0.867,0.859,0.993,-5.106,1.4142448890197556e-05,0.34,95.9582290649414%,0.473,2.1600501537323%,0.96,0.215,0.924,0.055,0.851,0.341,0.91,0.091,0.773,0.609,1.141,0.526,0.01,0.991,0.989,0.959,0.967,0.139,0.156,0.792,0.004,0.466,0.995,0.786,3.419,5.249,5.273,0.069,0.015,0.908,0.007,0.625,0.005,0.427,0.882,0.719,0.04,0.803,0.518,320.0,276.723,1.156,7,2,103.58,4,3,5,9,0,19,0.211,0,0,0,0,0,0,0,1,0,0.748,3.635,0.0,15.0,-1.057,4,0,0,0,Accepted,Accepted,Accepted,Accepted
